"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Полный сценарий заказа такси","2","0","Проверка деталей заказа","0"
"0","","0","Полный сценарий заказа такси","5","0","Проверка совершенного заказа","0"
"0","","0","Заказ Драйв","3","0","Описания тарифов Драйв","0"
"0","","0","Полный сценарий заказа такси","4","0","Полный флоу заказа такси","0"
"0","","0","Блок выбора маршрута","6","0","Функциональность блока выбора маршрута","0"
"0","","0","Подготовка к заказу такси","6","1","Подготовка заказа такси перед подтверждением","0"
"0","","0","Отрисовка маршрута","6","0","Визуализация маршрута на карте","0"
"0","","0","Заказ Драйв","2","0","Функциональность заказа Драйв","0"
"0","","0","Заказ тарифа Такси","4","2","Всплывающие подсказки описания тарифов","0"
"0","","0","Заказ Драйв","2","0","Окно добавления водительских прав","0"
"0","","0","Заказ тарифа Такси","4","0","Выбор тарифа такси и форма заказа","0"
"0","","0","Заказ тарифа Такси","1","0","Поля формы заказа","0"
"0","","0","Заказ Драйв","2","1","Окно совершенного заказа Драйв","0"
"0","","0","Полный сценарий заказа такси","0","1","Отмена заказа","0"
