"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка открытия окна деталей заказа при нажатии кнопки Детали в блоке 'Еще про поездку'","36","Проверка открытия окна деталей заказа","tests","2026-01-18","passed","2026-01-18","TestOrderDetails","test_taxi_order_full_scenario","",""
"Проверка отображения окна совершенного заказа после завершения таймера поиска","592","Проверка отображения окна совершенного заказа после поиска","tests","2026-01-18","passed","2026-01-18","TestCompletedTaxiOrder","test_taxi_order_full_scenario","",""
"Проверка корректного описания тарифа Роскошный в секции превью","1416","Проверка описания тарифа Роскошный","tests","2026-01-18","passed","2026-01-18","TestDriveFareDescriptions","test_drive_order","",""
"Проверка корректного описания тарифа Походный в секции превью","1369","Проверка описания тарифа Походный","tests","2026-01-18","passed","2026-01-18","TestDriveFareDescriptions","test_drive_order","",""
"Проверка отображения таймера обратного отсчета в окне поиска машины","597","Проверка отображения таймера обратного отсчета в окне поиска","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderFullScenario","test_taxi_order_full_scenario","",""
"Проверка отображения стоимости 'Бесплатно' при одинаковых адресах","710","Сценарий Б: Проверка отображения стоимости Бесплатно при одинаковых адресах","tests","2026-01-18","passed","2026-01-18","TestRouteOptionsBlock","test_route_options_block","",""
"Проверка отображения заголовка 'Поиск машины' в окне поиска","576","Проверка заголовка окна поиска машины","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderFullScenario","test_taxi_order_full_scenario","",""
"Проверка смены активного таба при переключении на маршрут Быстрый","716","Проверка переключения на маршрут Быстрый","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка корректного ввода адресов в поля ввода","164","Проверка ввода адресов в поля ввода","tests","2026-01-18","passed","2026-01-18","TestRouteRendering","test_route_rendering","",""
"Проверка видимости контейнера карты при загрузке страницы","15","Проверка отображения карты на главной странице","tests","2026-01-18","passed","2026-01-18","TestRouteRendering","test_route_rendering","",""
"Проверка появления блока выбора маршрута под полями ввода адресов при вводе двух разных предустановленных адресов","659","Сценарий А: Проверка отображения блока выбора маршрута при разных адресах","tests","2026-01-18","passed","2026-01-18","TestRouteOptionsBlock","test_route_options_block","",""
"Проверка отображения заголовка 'N мин. и приедет' в окне совершенного заказа","26545","Проверка формата заголовка заказа 'N мин. и приедет'","tests","2026-01-18","passed","2026-01-18","TestCompletedTaxiOrder","test_taxi_order_full_scenario","",""
"Проверка корректной отрисовки маршрута при вводе адресов в обратном порядке (адрес Куда в поле Откуда и наоборот)","1295","Проверка отрисовки маршрута при обратном порядке адресов","tests","2026-01-18","passed","2026-01-18","TestRouteRendering","test_route_rendering","",""
"Проверка открытия формы заказа Драйв после нажатия кнопки Забронировать","947","Проверка открытия формы заказа Драйв после нажатия Забронировать","tests","2026-01-18","passed","2026-01-18","TestDriveOrder","test_drive_order","",""
"Проверка активности всех типов передвижения при выборе маршрута Свой: Машина, Пешком, Такси, Велосипед, Самокат, Драйв","10974","Проверка активности типов передвижения при маршруте Свой","tests","2026-01-18","skipped","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка соответствия текста всех всплывающих подсказок тарифов спецификации","2071","Проверка соответствия всех описаний тарифов спецификации","tests","2026-01-18","passed","2026-01-18","TestFareDescriptionTooltips","test_taxi_fare_order","",""
"Проверка наличия кнопок Отменить и Детали в окне поиска машины","87","Проверка наличия кнопок Отменить и Детали в окне поиска","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderFullScenario","test_taxi_order_full_scenario","",""
